key,dirigente,rol,plataforma,comentario,post_contexto,llm_polaridad
2029600339595563360,Gabriela Jiménez Godoy,oficialismo,TWITTER,"Para ahorrar más dinero, mejor desaparezcan a INE, en su totalidad, y cada 6 años q el dictador en turno nombre un sucesor, QUITENSE LAS MASCARAS SEÑORES!","¡Recibimos en la Cámara de Diputados la iniciativa de Reforma Electoral enviada por nuestra Presidenta @Claudiashein! Como cámara de origen, iniciaremos de inmediato su discusión para consolidar una d",0
783897628136643,Gabriela Jiménez Godoy,oficialismo,FACEBOOK,"DIP. Federal Gaby Jiménez., TU GRAN APOYO A LOS NIÑOS  Y NIÑAS ES  FUNDAMENTAL PARA QUE LOGREN LO QUE DESEN SER DEJAS UNA EXPERIENCIA  INOLVIDABLE Y QUE PUEDEN LOGRARLO👍🏼👏👏👏👏🎉🎉🌹",¡Qué día tan especial vivimos en la @Mx_Diputados! 🏛️ Recibimos con los brazos abiertos a las niñas y niños de #Azcapotzalco. Ver su asombro al recorrer el Museo Legislativo y el Pleno nos recuerda qu,0
18008981696719717,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Las cosas como son si quieren que no haya tantos trabajadores y niños en las escuelas a mi me suena más a que escondan a la clase trabajadora para no incomodar con tráfico a los 3 turistas adinerados que vienen a la ciudad🫩🫩🫩,"🚨Amparos frente a la cancelación de la SEP del ciclo escolar en junio.  No pueden con el Mundial.  Si el Gobierno Federal decide seguir adelante con este atropello a los derechos de las y los niños, y",-1
1543587560619213,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Gracias licenciada saymi y huigal mente para usted,"Hoy reconozco y abrazo con admiración a todas las madres oaxaqueñas, mujeres fuertes y trabajadoras que son el corazón de nuestras familias. 💐  Gracias por enseñarnos a luchar y nunca rendirnos. ¡Feli",1
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTk1MDI3MjgxOTg5MTQyOjE1OTUwMjcyODE5ODkxNDI=:c:3a268b91d3a365ed,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Muchas felicidades fersita que te la pases,"Muchas felicidades Luis Fernando Díaz Pérez por motivo de su cumpleaños, te deseamos salud, éxito y muchos logros más en este nuevo año de vida.  ¡Que tengas un excelente día!",0
7546682371572220688,Alejandro Piña Medina,oposicion,TIKTOK,si dan recursos los impuestos federación,La actividad de los diputados está en legislar!!  En Movimiento Ciuda...,0
3890531212158005707_7696494864__c__17885339331542467,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Amiga bien 👍🧡🍊🍊🍊🍊🍊🍊🍊,"No fue un accidente. Fue encubrimiento.  Más de 900 km contaminados en el Golfo, ecosistemas dañados y miles de pescadores afectados… mientras Morena mentía: que si “gotitas”, que si “barco fantasma”.",1
18066464084348213,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Estoy deacuerdo en tu comentario pero al gobierno le vale madres lo que pase con las mamá cuidadoras o trabajadoras pero por favor esto que le sirva para que en la siguientes elecciones voten por otro partido que no sea morena por favor,"🚨Amparos frente a la cancelación de la SEP del ciclo escolar en junio.  No pueden con el Mundial.  Si el Gobierno Federal decide seguir adelante con este atropello a los derechos de las y los niños, y",-1
1313321057395384,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Muchas felicidades Dios te bendiga grandemente,"Hoy reconozco y abrazo con admiración a todas las madres oaxaqueñas, mujeres fuertes y trabajadoras que son el corazón de nuestras familias. 💐  Gracias por enseñarnos a luchar y nunca rendirnos. ¡Feli",1
3902359993071044515_7200518291__c__18125464231528611,Gabriela Jiménez Godoy,oficialismo,INSTAGRAM,Haciéndote pendeja,"Hoy recorrimos Santo Tomás, platicando con vecinas y vecinos, escuchando sus preocupaciones, sus ideas y también sus palabras de cariño. ❤️  No hay nada que motive más que sentir el respaldo y la conf",-1
UzpfSTEwMDA4MzA3MTI4NTMyMTo3MjcwNjgzNjM0MDU1MzM6NzI3MDY4MzYzNDA1NTMz:c:1e729c6d3ebc0e1c,Pepe Monroy,?,FACEBOOK,Pura gente extraña que después se va por que no poner a gente de este estado,"🗣️ ""Felicito con admiración a mi amigo, el Diputado Federal y Vicecoordinador de los Diputados de Morena, Alfonso Ramírez Cuéllar, por su Primer Informe de Resultados. Su compromiso, visión social y t",-1
1889135455095292,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,El trabajo coordinado una buena oportunidad de desarrollo,"#Oaxaca continúa creciendo con unidad y visión de futuro.   En un encuentro encabezado por el Gobernador del Estado, Ing. Salomón Jara Cruz, dialogamos con el sector empresarial para fortalecer las co",1
pfbid0K4DkDxvt7qYmKqVJwyHFxgzFYK4vknyLkbNpLAP4tX5yxVwgBYaxfdGXWKRnkww4l:c:6332fbef1ff16ee3,Pepe Monroy,?,FACEBOOK,"Feliz cumpleaños para tu pequeño, Pepe. Que siga creciendo lleno de amor, alegría y mucha luz. Sin duda, los hijos son el motor más hermoso de la vida.",,0
2043520741455376491,Gabriela Jiménez Godoy,oficialismo,TWITTER,"@GabyJimenezMX Tu nada más vas de relleno no aportas nada de valor , ni a titina Claudia ni a la secta morenista",Hoy fui testigo de un momento histórico en Huamantla.  La inauguración del primer Polo de Desarrollo Económico de 15 en el país marca el inicio de una nueva etapa: Más de 500 millones de dólares de in,0
3892639779669796457_7696494864__c__18092128289242876,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,"🔥🔥🔥 90% lealtad, 10% capacidad...🔥🔥🔥🔥Mientras, despidiendo a gente preparada y perjudicando  a verdaderos especialistas competentes que dieron 30 años de servicio, o más, a la empresa, y ponerlos ante la sociedad como si hubiesen cometido un delito por cumplir las bases para su jubilación...🔥🔥🔥REFORMA A LAS PENSIONES. ""No se trata de defender pensiones.Se trata de defender el Estado de Derecho y l","🚨Amparos frente a la cancelación de la SEP del ciclo escolar en junio.  No pueden con el Mundial.  Si el Gobierno Federal decide seguir adelante con este atropello a los derechos de las y los niños, y",-1
2042496158908436779,Gabriela Jiménez Godoy,oficialismo,TWITTER,"@GabyJimenezMX @DiputadosMorena @PartidoMorenaMx No tienes vergüenza, ni los Congresos Locales, al igual que ustedes SON UNOS HDLCH LEVANTADEDOS, NTM al aprobar algo que ni siquiera leyeron, no cabe duda que son unos parásitos con fuero, SON PIOR QUE EL PRI DE LOS 70'S Y 80'S, SUS ANCESTROS, tanto ""q luchaban por la democracia""","¡Día histórico para México! 🗳️🇲🇽 Con el respaldo de 17 Congresos Estatales, alcanzamos la mayoría necesaria para la declaratoria de constitucionalidad del Plan B de la Reforma Electoral.  La voluntad ",0
2047486297191661794,Laura Ballesteros Mancilla,oposicion,TWITTER,@LBallesterosM @SEDEMA_CDMX Puedes informar sobre la situación de este ejemplar?  @BJAlcaldia,"Otro más. Debemos organizarnos, vecinos. Esto debe parar.  [QT] Esta es la poda que hace la Alcaldía BJ o dieron el permiso para tirar un árbol sano en Martín Mendalde y Pilares? @ColoniasdeBJ @BJAlca",0
17862355581583256,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Ahi habla la esquirola que aprobo el plan b de la lagartija,"El PAN trajo a Isabel Ayuso para una visita sin pena ni gloria, pero terminó exhibiendo algo peor: una política que recorta apoyos sociales, que quita recursos a la educación y a la salud, protege pri",-1
17886503178523813,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Las respuestas idiotas de kkitas,"La popularidad no puede ser escudo para la impunidad.  Decir que alguien no debe rendir cuentas “porque es querido” o es familiar de alguna víctima, es exactamente el problema. En democracia, la ley e",-1
2042445211926749445,Laura Ballesteros Mancilla,oposicion,TWITTER,"@LBallesterosM #NoSoyBot  tampoco priista o panista, solo una ciudadana HARTA de traidores a #Mexico  Ustedes no son #BancadaNaranja son VERDES, actúan igual y sobre todo son PALEEEEEEROS.","Que Alejandro Moreno y sus huestes ataquen, habla de que estamos en el camino correcto, el de la política digna y honesta, el del alto a los privilegios de quienes tanto le han fallado y robado a nues",0
UzpfSTEwMDA0NDQ1NjU1ODU2NToxNTcyNjM2MjAwODk0OTE3OjE1NzI2MzYyMDA4OTQ5MTc=:c:f92a79ba2ee34b32,Saymi Adriana Pineda Velasco,oficialismo,FACEBOOK,Siempre fortaleciendo a Oaxaca en los fotos internacionales,"Oaxaca y México presentes en el Seatrade Cruise Global 2026 Encabezado por la subsecretaria de Turismo del Gobierno de México, Dra. Nathalie Desplas Puel, participé en el corte de listón del stand de ",1
3902241403233192301_7200518291__c__18114467374845822,Gabriela Jiménez Godoy,oficialismo,INSTAGRAM,Amiga eres la mejor,🏥❤️ La salud de nuestras vecinas y vecinos es primero.  Hoy llevamos una mega jornada de salud a San Pedro Xalpa para seguir apoyando a las familias afectadas por el desbordamiento del río. Me dio muc,1
3799412958217238771_45120302231__c__18090392239977705,Alejandro Piña Medina,oposicion,INSTAGRAM,👏👏👏👏 pobres.  Peluditos. 😢,La diversión no debe causar daño a los demás. Truena con el plan de siempre. Celebra con responsabilidad y empatía.,1
7629569957039162132,Saymi Adriana Pineda Velasco,oficialismo,TIKTOK,pero éso no le corresponde a la secretaria de transporte y no a turismo,"De no tener vuelos, hoy el Istmo está conectado gracias a @Mexicana V...",-1
7639099694823768839,Laura Ballesteros Mancilla,oposicion,TIKTOK,"es un horror que los de Morena digan que rodo es hermoso, los de la oposición tienen otros datos, el pais esta mal tenemos crisis y como es posible que los políticos no tengan el nivel para sacar adelante al pais.",Es “Narco Washing” lo que el Gobierno de México está haciendo al enredar y aplazar el proceso de justicia de Rocha Moya y secuaces.  Si la gente del pueblo contara con la protección jurídica y de segu,-1
2043853731691659311,Gabriela Jiménez Godoy,oficialismo,TWITTER,@GabyJimenezMX @Claudiashein @DiputadosMorena https://t.co/I3jve4umEN,"Ayer acudí a la inauguración del primer Polo de Desarrollo Económico para el Bienestar en Huamantla, Tlaxcala, encabezado por nuestra presidenta @Claudiashein.   Este proyecto estratégico demuestra qu",0
18108794149749913,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,"No digas tonterías, agitadora. Mejor sean una verdadera oposición, y no anden de agachones, como muy claramente dijiste en entrevista (tú misma): nunca hemos sido oposición de morena. Vergüenza debería darte","El PAN trajo a Isabel Ayuso para una visita sin pena ni gloria, pero terminó exhibiendo algo peor: una política que recorta apoyos sociales, que quita recursos a la educación y a la salud, protege pri",-1
18121533418573765,Pepe Monroy,?,INSTAGRAM,Felicidades hermano te mando un abrazo,"❤️✨ Feliz San Valentín. a todos!!!  Gracias por ser mujer admirable, compañera incondicional, madre extraordinaria y mi compañera de vida. Caminar contigo hace que todo tenga más sentido. Hoy celebren",1
3902304600324548170_7696494864__c__18005704637863542,Laura Ballesteros Mancilla,oposicion,INSTAGRAM,Vieja naca.,"Pintura no es infraestructura.  Morena cree que maquillar la ciudad de morado resuelve el abandono, pero la CDMX sigue atrapada entre baches, inseguridad, tráfico y transporte colapsado.  El Mundial n",-1
Y29tbWVudDoxNDA5NzgxOTI3ODI5MjcyXzI3Njc3OTE0MTM2MTk5MzA=,Gabriela Jiménez Godoy,oficialismo,FACEBOOK,Con todo,“Que tus sueños pesen más que tus excusas” #SueñaEnGrande #CreeEnTi #PersigueTusSueños #ConstruyeTuCamino #Determinación,0
