"comment_id","content","dirigente_id","dirigente_nombre","rol_politico","platform","runner_tono","runner_target","mapper_tono_v2","mapper_target_v2","score_actual","humano_tono","humano_target","humano_off_topic","humano_nota"
"1556","@LBallesterosM De Terror!!!","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"1911","😂😂😂","8","Laura Ballesteros Mancilla","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1872","[Sticker] MC voto por la fiscal de Claudia, no se me olvidará","8","Laura Ballesteros Mancilla","oposicion","TIKTOK","personal","oposicion","personal","oposicion","","","","",""
"150","🤣🤣🤣🤣🤣🤣 ese ni.un brillo va a ganar","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"3","maynez👋🏻👋🏻","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"46","fosfo fosfo 🧡🧡🧡🧡🧡🧡🧡","1","Alejandro Piña Medina","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
"1632","@LBallesterosM Lo siento mucho 🙏🏻. No nos podemos quedar callados, ante estos crímenes.","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"2745","@LBallesterosM Hasta ahorita me cae el 20, porque tanta sumisión de tus gobernadores con Cheinbaum","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","autopromocion","personal","autopromocion","","","","",""
"415","#40horasahora 🍊","1","Alejandro Piña Medina","oposicion","INSTAGRAM","personal","autopromocion","personal","autopromocion","","","","",""
"3302","@LBallesterosM Ridiculos tus argumentos cuando el practica votas todo a favor de Morena   MC+PT+PVEM+Morena = 4T","8","Laura Ballesteros Mancilla","oposicion","TWITTER","personal","gobierno","personal","gobierno","","","","",""
"1895","😂😂😂😂😂","8","Laura Ballesteros Mancilla","oposicion","TIKTOK","personal","autopromocion","personal","autopromocion","","","","",""
