post_id,tono_consenso,tono_agreement,target_consenso,target_agreement,applied,error
586,critico,2/2,tema_especifico,2/2,True,
832,informativo,2/2,medios,1/2_claude,True,
834,informativo,2/2,tema_especifico,2/2,True,
4405,celebratorio,2/2,autopromocion,2/2,True,
4406,ataque,1/2_claude,gobierno,2/2,True,
4407,ataque,2/2,gobierno,2/2,True,
4408,celebratorio,1/2_claude,autopromocion,2/2,True,
4409,ataque,2/2,gobierno,2/2,True,
4410,critico,2/2,gobierno,2/2,True,
4423,celebratorio,2/2,autopromocion,2/2,True,
4432,ataque,2/2,gobierno,2/2,True,
4433,celebratorio,2/2,autopromocion,2/2,True,
4434,ataque,2/2,gobierno,2/2,True,
4435,ataque,2/2,gobierno,2/2,True,
4436,celebratorio,1/2_claude,autopromocion,2/2,True,
4437,critico,2/2,gobierno,2/2,True,
4438,celebratorio,2/2,autopromocion,2/2,True,
4439,celebratorio,2/2,autopromocion,2/2,True,
4440,ataque,1/2_claude,gobierno,2/2,True,
4454,ataque,2/2,gobierno,2/2,True,
4455,celebratorio,2/2,autopromocion,2/2,True,
4456,critico,2/2,gobierno,2/2,True,
4457,ataque,1/2_claude,gobierno,2/2,True,
4481,critico,2/2,gobierno,2/2,True,
4482,propositivo,2/2,tema_especifico,2/2,True,
4483,critico,2/2,gobierno,2/2,True,
4485,personal,1/2_claude,tema_especifico,1/2_claude,True,
4489,personal,1/2_claude,tema_especifico,1/2_claude,True,
4490,critico,2/2,gobierno,2/2,True,
4492,critico,2/2,gobierno,2/2,True,
4498,celebratorio,1/2_claude,autopromocion,2/2,True,
4500,celebratorio,1/2_claude,autopromocion,2/2,True,
4501,personal,1/2_claude,tema_especifico,1/2_claude,True,
4502,propositivo,1/2_claude,tema_especifico,1/2_claude,True,
4503,critico,2/2,gobierno,2/2,True,
4504,propositivo,2/2,tema_especifico,2/2,True,
4506,critico,2/2,gobierno,2/2,True,
4507,critico,2/2,gobierno,2/2,True,
4508,critico,2/2,gobierno,2/2,True,
4512,celebratorio,2/2,tema_especifico,1/2_claude,True,
4513,personal,1/2_claude,tema_especifico,2/2,True,
4514,critico,1/2_claude,tema_especifico,2/2,True,
4517,celebratorio,1/2_claude,autopromocion,2/2,True,
4518,celebratorio,2/2,tema_especifico,1/2_claude,True,
4519,informativo,1/2_claude,tema_especifico,2/2,True,
4520,personal,1/2_claude,medios,1/2_claude,True,
4521,critico,2/2,tema_especifico,1/2_claude,True,
4522,celebratorio,2/2,tema_especifico,2/2,True,
4524,critico,2/2,tema_especifico,2/2,True,
4525,critico,2/2,tema_especifico,2/2,True,
4526,critico,2/2,tema_especifico,2/2,True,
4527,critico,2/2,tema_especifico,2/2,True,
