post_id,dirigente_id,dirigente_nombre,tono_gemini,target_gemini,sentimiento_gemini,razon_gemini,raw_response,elapsed_s
4774,5,Gabriela Jiménez Godoy,solidario,gobierno,positivo,Expresa respaldo y solidaridad directa a la Presidenta,"{""tono"":""solidario"",""target"":""gobierno"",""sentimiento"":""positivo"",""razon"":""Expresa respaldo y solidaridad directa a la Presidenta""}",12.49
4778,5,Gabriela Jiménez Godoy,celebratorio,gobierno,positivo,Muestra entusiasmo por el encuentro institucional con la Presidenta.,"{""tono"":""celebratorio"",""target"":""gobierno"",""sentimiento"":""positivo"",""razon"":""Muestra entusiasmo por el encuentro institucional con la Presidenta.""}",12.08
4761,5,Gabriela Jiménez Godoy,celebratorio,autopromocion,positivo,Celebra el relevo histórico en el CIME y vincula su labor legislativa con la visión de desarrollo nacional y soberanía energética.,"{
  ""tono"": ""celebratorio"",
  ""target"": ""autopromocion"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Celebra el relevo histórico en el CIME y vincula su labor legislativa con la visión de desarrollo nacional y soberanía energética.""
}",16.62
4747,5,Gabriela Jiménez Godoy,celebratorio,autopromocion,positivo,Celebra hito histórico de género en ingeniería y promociona iniciativas legislativas de infraestructura.,"{
""tono"": ""celebratorio"",
""target"": ""autopromocion"",
""sentimiento"": ""positivo"",
""razon"": ""Celebra hito histórico de género en ingeniería y promociona iniciativas legislativas de infraestructura.""
}",12.72
4777,5,Gabriela Jiménez Godoy,celebratorio,ciudadania,positivo,Celebración de la visita de niñas y niños de Azcapotzalco a la Cámara de Diputados para promover sus derechos.,"{""tono"":""celebratorio"",""target"":""ciudadania"",""sentimiento"":""positivo"",""razon"":""Celebración de la visita de niñas y niños de Azcapotzalco a la Cámara de Diputados para promover sus derechos.""}",11.33
4750,5,Gabriela Jiménez Godoy,informativo,autopromocion,positivo,Informa sobre la participación infantil en la Cámara de Diputados y el diálogo con legisladoras,"{""tono"":""informativo"",""target"":""autopromocion"",""sentimiento"":""positivo"",""razon"":""Informa sobre la participación infantil en la Cámara de Diputados y el diálogo con legisladoras""}",15.11
4762,5,Gabriela Jiménez Godoy,celebratorio,autopromocion,positivo,Post celebratorio que resalta la labor legislativa y el acercamiento con la infancia de Azcapotzalco.,"{
  ""tono"": ""celebratorio"",
  ""target"": ""autopromocion"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Post celebratorio que resalta la labor legislativa y el acercamiento con la infancia de Azcapotzalco.""
}",11.09
4737,5,Gabriela Jiménez Godoy,celebratorio,autopromocion,positivo,"Celebra la visita de niños de Azcapotzalco a la Cámara de Diputados, destacando la labor legislativa y la promoción de derechos infantiles.","{
  ""tono"": ""celebratorio"",
  ""target"": ""autopromocion"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Celebra la visita de niños de Azcapotzalco a la Cámara de Diputados, destacando la labor legislativa y la promoción de derechos infantiles.""
}",12.20
4779,5,Gabriela Jiménez Godoy,celebratorio,ciudadania,positivo,Celebración del Día del Niño con familias y compromiso legislativo a favor de la niñez.,"{""tono"":""celebratorio"",""target"":""ciudadania"",""sentimiento"":""positivo"",""razon"":""Celebración del Día del Niño con familias y compromiso legislativo a favor de la niñez.""}",12.18
4763,5,Gabriela Jiménez Godoy,informativo,autopromocion,positivo,Invitación a leer columna de opinión propia sobre la transformación.,"{
  ""tono"": ""informativo"",
  ""target"": ""autopromocion"",
  ""sentimiento"": ""positivo"",
  ""razon"": ""Invitación a leer columna de opinión propia sobre la transformación.""
}",16.50
