post_id,dirigente_id,dirigente_nombre,plataforma,content,published_at
4505,1,Alejandro Piña Medina,FACEBOOK,"Su sonrisa es mi motor! 
En sus ojos veo el futuro que quiero defender todos los días.
Por sus sueños, por lo que me enseñan cada día, no hay espacio para rendirse.
Todo lo que hago, empieza y termina en ell@s.
Feliz Día de la Niña y el Niño.",2026-05-01T02:28:36+00:00
741,1,Alejandro Piña Medina,TWITTER,"RT @PublimetroMX: #OpiniónPublimetro | Las horas que el Estado les debe a las mujeres

Lee a Alejandro Piña (@Alejandro_Pinha)
https://t.co…

[QT] #OpiniónPublimetro | Las horas que el Estado les debe a las mujeres

Lee a Alejandro Piña (@Alejandro_Pinha)
https://t.co/JQzAZ0bq3C",2026-03-11T23:20:23+00:00
4499,1,Alejandro Piña Medina,FACEBOOK,"Hasta las vacas saben elegir buena compañía y nosotros también. 😎
Por eso hacemos una política diferente: con la gente al centro y sus causas al frente!!",2026-05-07T22:16:27+00:00
744,1,Alejandro Piña Medina,TWITTER,"Cuando la gente se une, las reglas cambian. 
La Procuraduría Federal del Consumidor lanzó nuevos lineamientos para las boleteras: precios claros desde el inicio, información completa y anticipada, protección contra prácticas injustas y reembolsos garantizados.
No fue casualidad: fue presión colectiva. La fuerza ciudadana sí tiene impacto.

[QT] ¡Oficial! La venta de boletos para conciertos en México cambia para siempre, estas son las nuevas regulaciones

https://t.co/VokSREi4CF",2026-02-21T05:45:17+00:00
4487,1,Alejandro Piña Medina,INSTAGRAM,"Hasta las vacas saben elegir buena compañía y nosotros también. 😎
Por eso hacemos una política diferente: con la gente al centro y sus causas al frente!!",2026-05-07T22:16:07+00:00
3726,1,Alejandro Piña Medina,FACEBOOK,"La política se fortalece cuando nos preparamos.

En el taller “La democracia y sus principios en movimiento”, abrimos un espacio para profundizar en lo que nos da identidad, nuestras causas, las reglas del juego y el compromiso con una democracia sin violencia.",2026-03-27T05:01:11+00:00
561,1,Alejandro Piña Medina,INSTAGRAM,"La deuda histórica con las y los trabajadores está en la cancha del Congreso. 
Lo aprobado en Comisiones es simulación: patear el balón hasta 2030 y dejar un solo día de descanso no responde al espíritu de nuestra propuesta.
No se trata de alargar el partido, sino de cambiar las reglas. Nadie es solo trabajador: somos personas con proyectos, tiempo y derecho a vivir con equilibrio. Ahora, la pregunta es: ¿las y los diputados del oficialismo van a responderle a la gente o volverán a patear el balón? #40horas",2026-02-23T23:39:32+00:00
3736,1,Alejandro Piña Medina,FACEBOOK,"La confianza de nuestras vecinas y vecinos nos sigue acompañando.

Venustiano Carranza merece una alternativa cercana, que escuche y que construya en colectivo. 🙌🏼",2026-03-10T20:27:05+00:00
3758,1,Alejandro Piña Medina,FACEBOOK,"El día de hoy, nuestro Coordinador Nacional Jorge Álvarez Maynez, presentó la alternativa de reforma electoral: 𝐌𝐚́𝐬 𝐝𝐞𝐦𝐨𝐜𝐫𝐚𝐜𝐢𝐚, 𝐦𝐞𝐧𝐨𝐬 𝐠𝐚𝐬𝐭𝐨.
 Una democracia fuerte es la que garantiza mayor participación ciudadana, respeta el voto y los derechos políticos, y blinda nuestras elecciones frente al crimen organizado.",2026-03-05T19:37:10+00:00
557,1,Alejandro Piña Medina,INSTAGRAM,"Morena traicionó a las y los trabajadores: mandó la jornada laboral de 40 horas hasta 2030 y con solo un día de descanso. La incongruencia es su esencia: mientras quienes sostienen al país madrugan y descansan poco, los legisladores del oficialismo duermen y se inventan puentes para descansar.

De esto platiqué con Adrian Jiménez en @mvsnoticias",2026-03-03T11:15:00+00:00
