post_id,dirigente_id,dirigente_nombre,plataforma,content,published_at,current_tono,current_target,current_version
4774,5,Gabriela Jiménez Godoy,TIKTOK,Presidenta Claudia Sheinbaum no estás sola !! ,2026-05-07T21:18:17+00:00,,,
4778,5,Gabriela Jiménez Godoy,TIKTOK,Camino a la reunión con la Presidenta Claudia Sheinbaum a Palacio Nacional!!! ,2026-05-07T18:03:48+00:00,,,
4761,5,Gabriela Jiménez Godoy,FACEBOOK,"Fue un honor ser testigo de un momento histórico en el @CIMEMexico: por primera vez en 80 años, una mujer, la Ing. Alejandra Castellanos, asume la presidencia. Este relevo refleja la transformación de México, donde el liderazgo técnico y la visión de género son pilares del desarrollo nacional. 🇲🇽⚙️

Coincidimos en que, bajo la visión de la Presidenta @Claudiashein, la ingeniería de precisión es clave para la soberanía energética, infraestructura, desarrollo. Desde el Legislativo, impulsamos la Ley de Infraestructura del Bienestar para integrar 5,000 MW de energía renovable y apoyar para que haya mayores inversiones para hacer realidad los proyectos del PND 2025-20230. ¡La técnica es la viabilidad del futuro! ⚡🌱

También tuve oportunidad de saludar al Ing. Luis Bernardo Argüelles, al Ing. I",2026-05-07T18:00:56+00:00,,,
4747,5,Gabriela Jiménez Godoy,INSTAGRAM,"Fue un honor ser testigo de un momento histórico en el @cimeac70: por primera vez en 80 años, una mujer, la Ing. Alejandra Castellanos, asume la presidencia. Este relevo refleja la transformación de México, donde el liderazgo técnico y la visión de género son pilares del desarrollo nacional. 🇲🇽⚙️

Coincidimos en que, bajo la visión de la Presidenta @Claudiashein, la ingeniería de precisión es clave para la soberanía energética, infraestructura, desarrollo. Desde el Legislativo, impulsamos la Ley de Infraestructura del Bienestar para integrar 5,000 MW de energía renovable y apoyar para que haya mayores inversiones para hacer realidad los proyectos del PND 2025-20230. ¡La técnica es la viabilidad del futuro! ⚡🌱

También tuve oportunidad de saludar al Ing. Luis Bernardo Argüelles, al Ing. Ivá",2026-05-07T18:00:46+00:00,,,
4777,5,Gabriela Jiménez Godoy,TIKTOK,"¡Qué día tan especial vivimos en la @Mx_Diputados! 🏛️ Recibimos con los brazos abiertos a las niñas y niños de #Azcapotzalco. Ver su asombro al recorrer el Museo Legislativo y el Pleno nos recuerda que ellos son el corazón de nuestra labor.

Gracias por acompañarnos a @lorenavillavicencio (SIPINNA), al Dip. @ArturoOlivaresC (Seguridad Social), a la Mtra. Mariana Perla Rojas Martínez (DIF Nacional) y a Francisco José Moreno Torrez (Comisión de Niñez). Juntos dialogamos sobre cómo proteger sus derechos. 🛡️✨

Como les dije: ser chintololo es orgullo y carácter, y por eso Azcapotzalco siempre será parte importante de lo que somos. ¡Nunca permitan que nadie apague la luz que llevan dentro! 🌟🇲🇽 

#Azcapotzalco #DiadelNiño #DíaEnlaCamara",2026-05-07T13:34:02+00:00,,,
4750,5,Gabriela Jiménez Godoy,INSTAGRAM,"Niñas y niños participan y hacen escuchar su voz en la Cámara de Diputados 🧒👧

Participaron en el Foro Sembrando el Futuro, dialogaron con @SLVillavicencio y @Gabyjimenezgo sobre educación, vivienda y comunidad.

#somossipinna #derechosdelosniños",2026-05-07T01:09:15+00:00,,,
4762,5,Gabriela Jiménez Godoy,FACEBOOK,"¡Qué día tan especial vivimos en la @Mx_Diputados! 🏛️ Recibimos con los brazos abiertos a las niñas y niños de #Azcapotzalco. Ver su asombro al recorrer el Museo Legislativo y el Pleno nos recuerda que ellos son el corazón de nuestra labor.

Gracias por acompañarnos a @lorenavillavicencio (SIPINNA), al Dip. @ArturoOlivaresC (Seguridad Social), a la Mtra. Mariana Perla Rojas Martínez (DIF Nacional) y a Francisco José Moreno Torrez (Comisión de Niñez). Juntos dialogamos sobre cómo proteger sus derechos y les presentamos la cartilla de los derechos de la niñez dé SIPINNA 🛡️✨

Como les dije: ser chintololo es orgullo y carácter, y por eso Azcapotzalco siempre será parte importante de lo que somos. ¡Nunca permitan que nadie apague la luz que llevan dentro! 🌟🇲🇽 

#Azcapotzalco #DiadelNiño #DíaEn",2026-05-06T22:14:58+00:00,,,
4737,5,Gabriela Jiménez Godoy,INSTAGRAM,"¡Qué día tan especial vivimos en la @Mx_Diputados! 🏛️ Recibimos con los brazos abiertos a las niñas y niños de #Azcapotzalco. Ver su asombro al recorrer el Museo Legislativo y el Pleno nos recuerda que ellos son el corazón de nuestra labor.

Gracias por acompañarnos a @lorenavillavicencio (SIPINNA), al Dip. ArturoOlivaresC (Seguridad Social), a la Mtra. Mariana Perla Rojas Martínez (DIF Nacional) y a Francisco José Moreno Torrez (Comisión de Niñez). Juntos dialogamos sobre cómo proteger sus derechos y les presentamos la cartilla de los derechos de la niñez dé SIPINNA 🛡️✨

Como les dije: ser chintololo es orgullo y carácter, y por eso Azcapotzalco siempre será parte importante de lo que somos. ¡Nunca permitan que nadie apague la luz que llevan dentro! 🌟🇲🇽 

#Azcapotzalco #DiadelNiño #DíaEnl",2026-05-06T22:14:45+00:00,,,
4779,5,Gabriela Jiménez Godoy,TIKTOK,"Hoy tuve la alegría de visitar la colonia Santa Inés para celebrar con nuestras niñas y niños el Día del Niño y de la Niña. 💛✨

Escuchar sus sueños, sus ideas y todo lo que quieren lograr en la vida nos recuerda por qué vale la pena seguir trabajando todos los días por un mejor país para ellas y ellos. Les dije algo muy importante: nunca dejen de creer en ustedes, nunca se rindan y siempre luchen por sus sueños. 🌟

Desde la Cámara de Diputados seguiré trabajando con mucha convicción a favor de la niñez, porque nuestras niñas y niños merecen crecer con oportunidades, felicidad y esperanza.

¡Gracias a todas las familias de Santa Inés por recibirme con tanto cariño! 🫶👧🏻👦🏻
#DíaDelNiño #SantaInés #Azcapotzalco #Niñez #GabrielaJiménez ",2026-05-06T03:21:38+00:00,,,
4763,5,Gabriela Jiménez Godoy,FACEBOOK,Les invito a leer mi columna para El Heraldo de México “Unidad: el Corazón de la Transformación.”👇🏻,2026-05-06T03:06:37+00:00,,,
